,title,subheading,location,transliteration,translation,arabic_verse_part,arabic_word
13101,ب ل و,Verb (form I) - to test,(68:17:2),balawnāhum,have tried them,إِنَّا بَلَوْنَاهُمْ كَمَا بَلَوْنَا أَصْحَابَ الْجَنَّةِ إِذْ أَقْسَمُوا,بَلَوْنَاهُمْ
13102,ب ل و,Verb (form I) - to test,(68:17:4),balawnā,We tried,إِنَّا بَلَوْنَاهُمْ كَمَا بَلَوْنَا أَصْحَابَ الْجَنَّةِ إِذْ أَقْسَمُوا,بَلَوْنَا
13103,ب ل و,Verb (form I) - to test,(86:9:2),tub'lā,will be tested,يَوْمَ تُبْلَى السَّرَائِرُ,تُبْلَى
13104,ب ل و,Verb (form IV) - to test,(3:186:1),latub'lawunna,You will certainly be tested,لَتُبْلَوُنَّ فِي أَمْوَالِكُمْ وَأَنْفُسِكُمْ,لَتُبْلَوُنَّ
13105,ب ل و,Verb (form IV) - to test,(8:17:13),waliyub'liya,and that He may test,وَلِيُبْلِيَ الْمُؤْمِنِينَ مِنْهُ بَلَاءً حَسَنًا إِنَّ اللَّهَ سَمِيعٌ عَلِيمٌ,وَلِيُبْلِيَ
13106,ب ل و,"Verb (form VIII) - to test, to try",(2:124:2),ib'talā,tried,وَإِذِ ابْتَلَىٰ إِبْرَاهِيمَ رَبُّهُ بِكَلِمَاتٍ فَأَتَمَّهُنَّ,ابْتَلَىٰ
13107,ب ل و,"Verb (form VIII) - to test, to try",(3:152:32),liyabtaliyakum,so that He may test you,ثُمَّ صَرَفَكُمْ عَنْهُمْ لِيَبْتَلِيَكُمْ,لِيَبْتَلِيَكُمْ
13108,ب ل و,"Verb (form VIII) - to test, to try",(3:154:63),waliyabtaliya,And that might test,وَلِيَبْتَلِيَ اللَّهُ مَا فِي صُدُورِكُمْ وَلِيُمَحِّصَ مَا فِي قُلُوبِكُمْ,وَلِيَبْتَلِيَ
13109,ب ل و,"Verb (form VIII) - to test, to try",(4:6:1),wa-ib'talū,And test,وَابْتَلُوا الْيَتَامَىٰ,وَابْتَلُوا
13110,ب ل و,"Verb (form VIII) - to test, to try",(33:11:2),ub'tuliya,were tried,هُنَالِكَ ابْتُلِيَ الْمُؤْمِنُونَ وَزُلْزِلُوا زِلْزَالًا شَدِيدًا,ابْتُلِيَ
13111,ب ل و,"Verb (form VIII) - to test, to try",(76:2:7),nabtalīhi,(that) We test him,إِنَّا خَلَقْنَا الْإِنْسَانَ مِنْ نُطْفَةٍ أَمْشَاجٍ نَبْتَلِيهِ,نَبْتَلِيهِ
13112,ب ل و,"Verb (form VIII) - to test, to try",(89:15:5),ib'talāhu,try him,فَأَمَّا الْإِنْسَانُ إِذَا مَا ابْتَلَاهُ رَبُّهُ فَأَكْرَمَهُ وَنَعَّمَهُ فَيَقُولُ رَبِّي أَكْرَمَنِ,ابْتَلَاهُ
